City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,new norfolk,-42.78,147.06,44.01,85,52,1.99,AU,1595188001
88,ancud,-41.87,-73.82,51.01,100,90,6.93,CL,1595188179
89,arraial do cabo,-22.97,-42.03,73.4,78,0,14.99,BR,1595188179
90,provideniya,64.38,-173.3,53.6,66,75,6.71,RU,1595188179
91,khatanga,71.97,102.5,49.37,78,93,6.89,RU,1595188179
92,porto nacional,-10.71,-48.42,89.6,31,40,8.05,BR,1595188179
93,pacasmayo,-7.4,-79.57,66.04,72,18,15.97,PE,1595188180
94,amahai,-3.33,128.92,81.0,95,69,4.83,ID,1595188180
95,faanui,-16.48,-151.75,77.16,83,47,21.92,PF,1595188180
96,maceio,-9.67,-35.74,71.6,100,90,12.75,BR,1595188080
97,porto murtinho,-21.7,-57.88,92.01,27,0,11.56,BR,1595188180
98,coquimbo,-29.95,-71.34,57.2,87,40,13.87,CL,1595188180
99,karratha,-20.74,116.85,63.68,67,0,9.48,AU,1595188103
100,dhidhdhoo,6.88,73.1,80.22,83,98,20.0,MV,1595188180
101,petauke,-14.24,31.33,58.89,69,0,13.33,ZM,1595188180
102,lufilufi,-13.87,-171.6,78.01,88,43,5.01,WS,1595188170
103,marawi,8.0,124.29,75.0,91,95,5.01,PH,1595188180
104,bathsheba,13.22,-59.52,87.8,58,20,14.99,BB,1595188180
105,hobart,-42.88,147.33,46.4,61,40,10.29,AU,1595188037
106,klaksvik,62.23,-6.59,48.2,87,100,13.87,FO,1595188181
107,kapaa,22.08,-159.32,84.0,88,75,17.22,US,1595188181
108,bengkulu,-3.8,102.27,76.53,90,65,7.52,ID,1595188181
109,yanam,16.73,82.22,81.91,87,100,5.64,IN,1595188181
110,kalmunai,7.42,81.82,81.05,78,84,6.31,LK,1595188181
111,aklavik,68.22,-135.01,46.4,93,90,3.36,CA,1595188181
112,flin flon,54.77,-101.86,71.6,40,40,5.82,CA,1595188181
113,victoria,22.29,114.16,84.0,74,100,5.99,HK,1595188173
114,emerald,-23.53,148.17,50.0,81,0,3.36,AU,1595188181
115,yerbogachen,61.28,108.01,46.83,88,100,1.21,RU,1595188181
116,ewa beach,21.32,-158.01,84.2,66,20,9.17,US,1595188044
117,antalaha,-14.9,50.28,69.31,78,8,13.29,MG,1595188181
118,margate,51.38,1.39,60.01,83,91,1.01,GB,1595187965
119,sao joao da barra,-21.64,-41.05,77.0,65,20,16.11,BR,1595188182
120,boguchany,58.38,97.45,48.38,74,49,2.91,RU,1595188182
121,puerto ayora,-0.74,-90.35,77.0,69,75,20.8,EC,1595188182
122,mocuba,-16.84,36.99,62.85,97,21,3.71,MZ,1595188182
123,lompoc,34.64,-120.46,68.0,77,4,10.29,US,1595188182
124,komsomolskiy,40.43,71.72,78.8,36,0,6.93,UZ,1595188182
125,pacific grove,36.62,-121.92,72.0,72,75,8.05,US,1595187960
126,cabo san lucas,22.89,-109.91,93.2,46,40,10.29,MX,1595188182
127,cockburn town,21.46,-71.14,83.35,77,37,19.64,TC,1595188182
128,changji,44.02,87.32,82.4,37,88,6.71,CN,1595188182
129,constitucion,-35.33,-72.42,55.27,86,91,7.54,CL,1595188182
130,kavieng,-2.57,150.8,81.21,75,50,6.51,PG,1595188182
131,grand-santi,4.25,-54.38,87.24,59,66,2.91,GF,1595188182
132,the valley,18.22,-63.06,87.8,62,40,16.11,AI,1595187932
133,whyalla,-33.03,137.58,46.4,75,90,4.7,AU,1595188183
134,rebrikha,53.07,82.34,59.81,90,50,7.02,RU,1595188183
135,roald,62.58,6.13,57.2,76,75,3.36,NO,1595188183
136,atar,20.52,-13.05,100.27,19,55,4.7,MR,1595188183
137,tessalit,20.2,1.01,91.53,29,0,9.26,ML,1595188183
138,iqaluit,63.75,-68.51,46.4,93,90,3.36,CA,1595188183
139,boyabat,41.47,34.77,77.0,94,20,11.41,TR,1595188183
140,aktash,50.3,87.73,47.55,88,66,0.94,RU,1595188183
141,korcula,42.96,17.14,75.2,41,0,6.93,HR,1595188183
142,correntina,-13.34,-44.64,77.49,42,65,7.54,BR,1595188184
143,emporia,38.4,-96.18,91.4,52,1,5.82,US,1595188184
144,iquitos,-3.75,-73.25,89.6,59,75,3.36,PE,1595188184
145,shaowu,27.34,117.48,77.23,83,100,1.25,CN,1595188184
146,bollnas,61.35,16.39,62.49,77,21,3.13,SE,1595188184
147,alice springs,-23.7,133.88,51.8,53,83,6.93,AU,1595187941
148,half moon bay,37.46,-122.43,73.0,77,20,5.82,US,1595188184
149,lima,-12.04,-77.03,66.2,68,75,8.05,PE,1595188060
150,chicama,-7.84,-79.15,70.54,59,11,11.25,PE,1595188184
151,ribeira grande,38.52,-28.7,73.4,69,75,5.82,PT,1595188109
152,lagoa,39.05,-27.98,69.39,74,45,6.93,PT,1595187972
153,avarua,-21.21,-159.78,75.2,78,55,14.99,CK,1595188184
154,provost,52.35,-110.27,68.09,63,94,6.51,CA,1595188184
155,rawson,-43.3,-65.1,44.6,93,75,6.93,AR,1595188116
156,teguldet,57.31,88.17,57.45,89,98,5.32,RU,1595188184
157,barrow,71.29,-156.79,33.8,86,90,9.17,US,1595188026
158,santiago,-33.46,-70.65,62.6,62,40,4.7,CL,1595187886
159,ondo,7.1,4.83,72.54,95,100,4.7,NG,1595188185
160,san patricio,19.22,-104.7,89.6,70,20,11.41,MX,1595188185
161,qaanaaq,77.48,-69.36,47.25,67,99,1.39,GL,1595188185
162,viedma,-40.81,-63.0,52.0,88,60,1.99,AR,1595188185
163,hilo,19.73,-155.09,82.4,65,1,5.82,US,1595188177
164,blackfoot,43.19,-112.34,82.4,20,1,13.87,US,1595188185
165,shaki,41.08,47.17,82.4,54,0,4.7,AZ,1595188185
166,roma,43.21,-75.46,91.4,49,20,14.99,US,1595188185
167,torbay,47.67,-52.73,73.4,43,20,6.93,CA,1595188185
168,gamba,-2.65,10.0,72.55,83,83,6.78,GA,1595188185
169,mahanje,-9.93,35.33,54.36,73,5,2.48,TZ,1595188185
170,nizhniy baskunchak,48.22,46.83,79.2,36,0,14.99,RU,1595188185
171,ilo,-17.64,-71.34,61.54,72,68,6.62,PE,1595187898
172,evensk,61.95,159.23,58.12,78,92,18.41,RU,1595187982
173,nerchinskiy zavod,51.31,119.61,54.55,96,100,9.51,RU,1595188186
174,high prairie,55.43,-116.49,61.11,86,100,10.74,CA,1595188186
175,carutapera,-1.2,-46.02,79.11,83,87,8.14,BR,1595188186
176,havelock,34.88,-76.9,91.99,31,20,12.75,US,1595188186
177,bayir,37.27,28.22,73.4,78,0,1.61,TR,1595188186
178,dikson,73.51,80.55,41.11,99,100,14.61,RU,1595188186
179,olafsvik,64.89,-23.71,49.17,74,8,6.96,IS,1595188186
180,mizdah,31.45,12.98,75.2,53,0,13.96,LY,1595188186
181,chateau-gontier,47.83,-0.7,80.6,53,68,12.75,FR,1595188186
182,yar-sale,66.83,70.83,47.32,84,0,8.16,RU,1595188186
183,capoterra,39.18,8.97,78.8,69,40,8.05,IT,1595188186
184,jhang,33.67,72.7,78.8,69,40,4.7,PK,1595188186
185,romny,50.75,33.47,61.57,82,0,4.79,UA,1595188187
186,christchurch,-43.53,172.63,48.2,93,8,10.29,NZ,1595188187
187,geraldton,-28.77,114.6,50.0,87,0,12.75,AU,1595188187
188,port elizabeth,-33.92,25.57,57.2,93,0,3.36,ZA,1595188187
189,hambantota,6.12,81.12,78.8,100,5,2.24,LK,1595188187
190,abhar,36.15,49.22,71.94,51,25,3.38,IR,1595188187
191,cherskiy,68.75,161.3,67.05,53,0,8.03,RU,1595188187
192,nador,35.17,-2.93,78.8,78,0,2.24,MA,1595188187
193,maniitsoq,65.42,-52.9,50.14,82,99,1.3,GL,1595188187
194,tura,25.52,90.22,74.88,97,99,7.47,IN,1595187974
195,kudahuvadhoo,2.67,72.89,82.51,76,100,23.24,MV,1595188187
196,portland,45.52,-122.68,82.99,44,20,5.82,US,1595188179
197,klyuchi,52.27,79.17,64.72,78,19,8.9,RU,1595188187
198,hofn,64.25,-15.21,57.2,50,75,11.41,IS,1595188187
199,salvador,13.83,-88.92,91.4,62,40,3.36,SV,1595188187
200,omboue,-1.57,9.26,73.94,81,100,9.95,GA,1595188187
201,burns lake,54.23,-125.75,69.46,42,14,8.12,CA,1595188188
202,maltahohe,-24.83,16.98,54.93,33,0,13.18,NA,1595188188
203,sao domingos do maranhao,-5.58,-44.39,88.32,41,83,4.09,BR,1595188188
204,aragats,40.49,44.35,87.8,33,35,12.75,AM,1595188188
205,birobidzhan,48.8,132.95,67.89,94,100,3.2,RU,1595188188
206,luderitz,-26.65,15.16,71.6,21,0,5.82,NA,1595188188
207,iralaya,15.0,-83.23,84.99,65,0,7.99,HN,1595188188
208,huilong,31.81,121.66,80.01,90,100,5.39,CN,1595188188
209,braganca,-1.05,-46.77,79.36,92,72,2.93,BR,1595188188
210,rio gallegos,-51.62,-69.22,35.6,64,40,2.24,AR,1595188188
211,saint-philippe,-21.36,55.77,68.0,72,75,14.99,RE,1595188188
212,te anau,-45.42,167.72,41.36,86,100,1.43,NZ,1595188188
213,praia da vitoria,38.73,-27.07,73.4,73,75,9.04,PT,1595188188
214,terney,45.05,136.61,59.07,81,100,2.53,RU,1595188189
215,hasaki,35.73,140.83,71.01,100,75,1.12,JP,1595188189
216,fare,-16.7,-151.02,77.5,81,87,21.27,PF,1595188189
217,bethel,41.37,-73.41,95.0,41,1,8.05,US,1595188189
218,banepa,27.63,85.52,69.8,100,90,2.24,NP,1595188189
219,bundaberg,-24.85,152.35,50.0,87,0,3.36,AU,1595188189
220,tateyama,34.98,139.87,73.4,100,75,2.24,JP,1595188189
221,tatawin,32.93,10.45,82.4,51,0,11.41,TN,1595188023
222,la crosse,43.8,-91.24,84.2,39,1,13.87,US,1595188154
223,mabaruma,8.2,-59.78,85.03,69,19,6.51,GY,1595188189
224,isangel,-19.55,169.27,68.81,67,1,5.99,VU,1595188190
225,bilma,18.69,12.92,93.04,16,2,5.01,NE,1595188190
226,vardo,70.37,31.11,53.6,93,75,10.29,NO,1595188190
227,iguala,18.34,-99.54,90.0,45,0,1.01,MX,1595188190
228,cabras,39.93,8.53,69.01,80,0,3.0,IT,1595188190
229,batagay-alyta,67.8,130.41,60.4,78,100,1.97,RU,1595188029
230,saldanha,-33.01,17.94,53.6,81,0,4.7,ZA,1595188190
231,port blair,11.67,92.75,81.16,79,98,3.29,IN,1595188190
232,beringovskiy,63.05,179.32,45.07,84,76,10.89,RU,1595188190
233,poum,-20.23,164.02,70.3,72,77,10.6,NC,1595188162
234,thompson,55.74,-97.86,75.2,44,75,10.29,CA,1595188190
235,port hardy,50.7,-127.42,66.2,68,40,17.22,CA,1595187921
236,lashio,22.93,97.75,68.49,100,100,2.04,MM,1595188107
237,bandarbeyla,9.49,50.81,80.58,60,50,26.26,SO,1595188191
238,naze,28.37,129.48,80.6,94,40,4.7,JP,1595187969
239,jamestown,42.1,-79.24,69.8,94,90,9.17,US,1595188169
240,leua,48.22,18.61,64.0,92,5,5.99,SK,1595188191
241,tamiahua,21.27,-97.45,87.67,60,19,9.78,MX,1595188191
242,avera,33.19,-82.53,96.8,37,1,9.17,US,1595188191
243,padang,-0.95,100.35,73.4,100,40,3.36,ID,1595188191
244,cape coast,5.11,-1.25,74.97,91,24,10.54,GH,1595188191
245,mount isa,-20.73,139.5,60.8,19,0,4.7,AU,1595188191
246,gushikawa,26.35,127.87,82.4,94,1,4.7,JP,1595188191
247,airai,-8.93,125.41,54.07,59,30,2.73,TL,1595188192
